0,82.24276644
10,82.07887308
20,81.16295875
30,80.24704443
40,80.08382553
50,80.48580265
60,80.32258375
70,80.72388642
80,81.50018788
90,81.3383179
100,81.92644551
110,82.32774818
120,82.35337759
150,83.74613391
0,0.125692846
10,2.024671241
20,1.282780861
30,1.452367302
40,1.779647239
50,1.5422751
60,1.414360577
70,1.177662897
80,1.32480517
90,1.347363876
100,0.29100788
110,0.52716161
120,0.387642086
150,1.141211002
0,4.827586207
10,6.034482759
20,7.844827586
30,7.643678161
40,6.83908046
50,6.83908046
60,6.436781609
70,6.83908046
80,6.436781609
90,6.235632184
100,4.827586207
110,4.022988506
120,4.224137931
150,3.82183908
0,0.013912352
10,0.904998509
20,1.676786247
30,1.716552387
40,0.907317235
50,1.391467091
60,1.1482328
70,1.06870052
80,0.502699659
90,0.703849084
100,0.820828779
110,0.011593627
120,0.133210772
150,0.535509623
0,140.2173913
10,296.74
30,776.09
50,1105.43
150,358.7
0,0
10,0
30,0
50,0
150,0
